Date,Team,Clearing Percent
2016-03-07,Furman,0.848
2016-03-07,UAlbany,0.845
2016-03-07,Binghamton,0.843
2016-03-07,Holy Cross,0.842
2016-03-07,Quinnipiac,0.84
2016-03-07,Maryland,0.84
2016-03-07,Lehigh,0.839
2016-03-07,Air Force,0.837
2016-03-07,Georgetown,0.829
2016-03-07,Providence,0.826
2016-03-07,Marquette,0.825
2016-03-07,Hofstra,0.825
2016-03-07,Bellarmine,0.824
2016-03-07,Mount St. Mary's,0.823
2016-03-07,Johns Hopkins,0.817
2016-03-07,Marist,0.81
2016-03-07,Boston U.,0.809
2016-03-07,Delaware,0.802
2016-03-07,Drexel,0.8
2016-03-07,Denver,0.786
2016-03-07,Bucknell,0.781
2016-03-07,Detroit Mercy,0.777
2016-03-07,Penn,0.775
2016-03-07,Fairfield,0.769
2016-03-07,Dartmouth,0.769
2016-03-07,Wagner,0.768
2016-03-07,UMBC,0.756
2016-03-07,Manhattan,0.724
2016-03-07,Jacksonville,0.719
2016-03-07,Lafayette,0.713
2016-03-07,NJIT,0.708
2016-03-07,VMI,0.704
2016-03-07,UMass Lowell,0.761
2016-03-06,Rutgers,0.937
2016-03-06,Syracuse,0.935
2016-03-06,Saint Joseph's,0.917
2016-03-06,St. John's,0.915
2016-03-06,Richmond,0.911
2016-03-06,Massachusetts,0.901
2016-03-06,Navy,0.9
2016-03-06,Cornell,0.898
2016-03-06,Monmouth,0.898
2016-03-06,Ohio St.,0.898
2016-03-06,Notre Dame,0.896
2016-03-06,Princeton,0.895
2016-03-06,Penn St.,0.892
2016-03-06,Army West Point,0.891
2016-03-06,Loyola Maryland,0.89
2016-03-06,Michigan,0.888
2016-03-06,Villanova,0.887
2016-03-06,Bryant,0.883
2016-03-06,Mercer,0.883
2016-03-06,Sacred Heart,0.881
2016-03-06,Brown,0.881
2016-03-06,Stony Brook,0.88
2016-03-06,Yale,0.878
2016-03-06,Vermont,0.875
2016-03-06,Virginia,0.875
2016-03-06,Hobart,0.875
2016-03-06,North Carolina,0.873
2016-03-06,Siena,0.872
2016-03-06,Towson,0.872
2016-03-06,Duke,0.87
2016-03-06,Hartford,0.869
2016-03-06,Robert Morris,0.868
2016-03-06,Canisius,0.867
2016-03-06,Colgate,0.859
2016-03-06,Harvard,0.857
2016-03-06,High Point,0.848
2016-03-06,Furman,0.848
2016-03-06,UAlbany,0.845
2016-03-06,Binghamton,0.843
2016-03-06,Holy Cross,0.842
2016-03-06,Quinnipiac,0.84
2016-03-06,Maryland,0.84
2016-03-06,Lehigh,0.839
2016-03-06,Air Force,0.837
2016-03-06,Georgetown,0.829
2016-03-06,Providence,0.826
2016-03-06,Marquette,0.825
2016-03-06,Hofstra,0.825
2016-03-06,Bellarmine,0.824
2016-03-06,Mount St. Mary's,0.823
2016-03-06,Johns Hopkins,0.817
2016-03-06,Marist,0.81
2016-03-06,Boston U.,0.809
2016-03-06,Delaware,0.802
2016-03-06,Drexel,0.8
2016-03-06,Denver,0.786
2016-03-06,Bucknell,0.781
2016-03-06,Detroit Mercy,0.777
2016-03-06,Penn,0.775
2016-03-06,Fairfield,0.769
2016-03-06,Dartmouth,0.769
2016-03-06,Wagner,0.768
2016-03-06,UMBC,0.756
2016-03-06,Manhattan,0.724
2016-03-06,Jacksonville,0.719
2016-03-06,Lafayette,0.713
2016-03-06,NJIT,0.708
2016-03-06,VMI,0.704
2016-03-06,UMass Lowell,0.761
2016-03-04,Princeton,0.96
2016-03-04,Rutgers,0.948
2016-03-04,Duke,0.947
2016-03-04,Maryland,0.935
2016-03-04,Syracuse,0.935
2016-03-04,Monmouth,0.933
2016-03-04,Brown,0.923
2016-03-04,Bryant,0.916
2016-03-04,Saint Joseph's,0.915
2016-03-04,North Carolina,0.912
2016-03-04,Notre Dame,0.909
2016-03-04,Massachusetts,0.908
2016-03-04,Cornell,0.906
2016-03-04,Penn St.,0.906
2016-03-04,Navy,0.903
2016-03-04,Richmond,0.902
2016-03-04,St. John's,0.897
2016-03-04,Sacred Heart,0.894
2016-03-04,Stony Brook,0.891
2016-03-04,Ohio St.,0.89
2016-03-04,Army West Point,0.888
2016-03-04,Mercer,0.883
2016-03-04,Robert Morris,0.883
2016-03-04,Quinnipiac,0.879
2016-03-04,Virginia,0.875
2016-03-04,Loyola Maryland,0.873
2016-03-04,UAlbany,0.867
2016-03-04,Hobart,0.864
2016-03-04,Vermont,0.863
2016-03-04,Towson,0.862
2016-03-04,Lehigh,0.859
2016-03-04,Michigan,0.855
2016-03-04,Hartford,0.854
2016-03-04,Colgate,0.849
2016-03-04,Siena,0.847
2016-03-04,Villanova,0.846
2016-03-04,High Point,0.845
2016-03-04,Air Force,0.841
2016-03-04,Furman,0.839
2016-03-04,Binghamton,0.839
2016-03-04,Harvard,0.833
2016-03-04,Marquette,0.833
2016-03-04,Holy Cross,0.828
2016-03-04,Delaware,0.827
2016-03-04,Georgetown,0.824
2016-03-04,Bellarmine,0.819
2016-03-04,Yale,0.818
2016-03-04,Providence,0.817
2016-03-04,Hofstra,0.817
2016-03-04,Marist,0.814
2016-03-04,Mount St. Mary's,0.806
2016-03-04,Denver,0.806
2016-03-04,Drexel,0.79
2016-03-04,Boston U.,0.787
2016-03-04,Penn,0.786
2016-03-04,Dartmouth,0.78
2016-03-04,Johns Hopkins,0.764
2016-03-04,Wagner,0.746
2016-03-04,Bucknell,0.74
2016-03-04,Fairfield,0.736
2016-03-04,UMBC,0.735
2016-03-04,Lafayette,0.726
2016-03-04,Jacksonville,0.724
2016-03-04,NJIT,0.723
2016-03-04,Detroit Mercy,0.722
2016-03-04,Manhattan,0.7
2016-03-04,VMI,0.699
2016-03-04,UMass Lowell,0.712
2016-03-02,Princeton,0.96
2016-03-02,Syracuse,0.951
2016-03-02,Rutgers,0.948
2016-03-02,Duke,0.947
2016-03-02,Maryland,0.935
2016-03-02,Monmouth,0.933
2016-03-02,Brown,0.923
2016-03-02,Bryant,0.916
2016-03-02,Ohio St.,0.915
2016-03-02,Saint Joseph's,0.915
2016-03-02,North Carolina,0.912
2016-03-02,Notre Dame,0.909
2016-03-02,Massachusetts,0.908
2016-03-02,Cornell,0.906
2016-03-02,Penn St.,0.906
2016-03-02,Navy,0.903
2016-03-02,Richmond,0.902
2016-03-02,St. John's,0.897
2016-03-02,Sacred Heart,0.894
2016-03-02,Stony Brook,0.891
2016-03-02,Virginia,0.891
2016-03-02,Army West Point,0.888
2016-03-02,Mercer,0.883
2016-03-02,Robert Morris,0.883
2016-03-02,Quinnipiac,0.879
2016-03-02,Loyola Maryland,0.873
2016-03-02,UAlbany,0.867
2016-03-02,Hobart,0.864
2016-03-02,Vermont,0.863
2016-03-02,Towson,0.862
2016-03-02,Lehigh,0.859
2016-03-02,Michigan,0.855
2016-03-02,Hartford,0.854
2016-03-02,Colgate,0.849
2016-03-02,Siena,0.847
2016-03-02,Villanova,0.846
2016-03-02,High Point,0.845
2016-03-02,Air Force,0.841
2016-03-02,Furman,0.839
2016-03-02,Binghamton,0.839
2016-03-02,Harvard,0.833
2016-03-02,Holy Cross,0.828
2016-03-02,Delaware,0.827
2016-03-02,Georgetown,0.824
2016-03-02,Yale,0.818
2016-03-02,Providence,0.817
2016-03-02,Hofstra,0.817
2016-03-02,Marist,0.814
2016-03-02,Marquette,0.811
2016-03-02,Mount St. Mary's,0.806
2016-03-02,Denver,0.806
2016-03-02,Drexel,0.79
2016-03-02,Boston U.,0.787
2016-03-02,Penn,0.786
2016-03-02,Bellarmine,0.784
2016-03-02,Dartmouth,0.78
2016-03-02,Johns Hopkins,0.764
2016-03-02,Wagner,0.746
2016-03-02,Bucknell,0.74
2016-03-02,Fairfield,0.736
2016-03-02,UMBC,0.735
2016-03-02,Lafayette,0.726
2016-03-02,Jacksonville,0.724
2016-03-02,NJIT,0.723
2016-03-02,Manhattan,0.7
2016-03-02,VMI,0.699
2016-03-02,Detroit Mercy,0.673
2016-03-02,UMass Lowell,0.712
2016-03-01,Princeton,0.96
2016-03-01,Syracuse,0.951
2016-03-01,Rutgers,0.948
2016-03-01,Duke,0.947
2016-03-01,Maryland,0.935
2016-03-01,Monmouth,0.933
2016-03-01,Brown,0.923
2016-03-01,Bryant,0.916
2016-03-01,Ohio St.,0.915
2016-03-01,North Carolina,0.912
2016-03-01,Notre Dame,0.909
2016-03-01,Massachusetts,0.908
2016-03-01,Cornell,0.906
2016-03-01,Penn St.,0.906
2016-03-01,Navy,0.903
2016-03-01,Richmond,0.902
2016-03-01,Sacred Heart,0.894
2016-03-01,Towson,0.894
2016-03-01,Stony Brook,0.891
2016-03-01,Virginia,0.891
2016-03-01,Army West Point,0.888
2016-03-01,St. John's,0.884
2016-03-01,Mercer,0.883
2016-03-01,Robert Morris,0.883
2016-03-01,Quinnipiac,0.879
2016-03-01,Saint Joseph's,0.878
2016-03-01,UAlbany,0.867
2016-03-01,Hobart,0.864
2016-03-01,Vermont,0.863
2016-03-01,Lehigh,0.859
2016-03-01,Loyola Maryland,0.857
2016-03-01,Michigan,0.855
2016-03-01,Hartford,0.854
2016-03-01,Colgate,0.849
2016-03-01,Siena,0.847
2016-03-01,Villanova,0.846
2016-03-01,High Point,0.845
2016-03-01,Air Force,0.841
2016-03-01,Furman,0.839
2016-03-01,Binghamton,0.839
2016-03-01,Harvard,0.833
2016-03-01,Holy Cross,0.828
2016-03-01,Delaware,0.827
2016-03-01,Georgetown,0.824
2016-03-01,Yale,0.818
2016-03-01,Providence,0.817
2016-03-01,Hofstra,0.817
2016-03-01,Marist,0.814
2016-03-01,Marquette,0.811
2016-03-01,Mount St. Mary's,0.806
2016-03-01,Denver,0.806
2016-03-01,Drexel,0.79
2016-03-01,Boston U.,0.787
2016-03-01,Penn,0.786
2016-03-01,Bellarmine,0.784
2016-03-01,Dartmouth,0.78
2016-03-01,Johns Hopkins,0.764
2016-03-01,Wagner,0.746
2016-03-01,Bucknell,0.74
2016-03-01,Fairfield,0.736
2016-03-01,UMBC,0.735
2016-03-01,Lafayette,0.726
2016-03-01,Jacksonville,0.724
2016-03-01,NJIT,0.723
2016-03-01,Manhattan,0.7
2016-03-01,VMI,0.699
2016-03-01,Detroit Mercy,0.673
2016-03-01,UMass Lowell,0.712
2016-02-29,Princeton,0.96
2016-02-29,Syracuse,0.951
2016-02-29,Duke,0.947
2016-02-29,Rutgers,0.937
2016-02-29,Maryland,0.935
2016-02-29,Monmouth,0.933
2016-02-29,Brown,0.923
2016-02-29,Bryant,0.916
2016-02-29,Ohio St.,0.915
2016-02-29,North Carolina,0.912
2016-02-29,Notre Dame,0.909
2016-02-29,Cornell,0.906
2016-02-29,Penn St.,0.906
2016-02-29,Navy,0.903
2016-02-29,Richmond,0.902
2016-02-29,Sacred Heart,0.894
2016-02-29,Massachusetts,0.894
2016-02-29,Towson,0.894
2016-02-29,Stony Brook,0.891
2016-02-29,Virginia,0.891
2016-02-29,Army West Point,0.888
2016-02-29,St. John's,0.884
2016-02-29,Mercer,0.883
2016-02-29,Robert Morris,0.883
2016-02-29,Quinnipiac,0.879
2016-02-29,Saint Joseph's,0.878
2016-02-29,UAlbany,0.867
2016-02-29,Hobart,0.864
2016-02-29,Vermont,0.863
2016-02-29,Lehigh,0.859
2016-02-29,Loyola Maryland,0.857
2016-02-29,Michigan,0.855
2016-02-29,Colgate,0.849
2016-02-29,Siena,0.847
2016-02-29,High Point,0.845
2016-02-29,Air Force,0.841
2016-02-29,Furman,0.839
2016-02-29,Binghamton,0.839
2016-02-29,Harvard,0.833
2016-02-29,Georgetown,0.833
2016-02-29,Holy Cross,0.828
2016-02-29,Yale,0.818
2016-02-29,Providence,0.817
2016-02-29,Marist,0.814
2016-02-29,Delaware,0.813
2016-02-29,Marquette,0.811
2016-02-29,Mount St. Mary's,0.808
2016-02-29,Denver,0.806
2016-02-29,Hartford,0.806
2016-02-29,Hofstra,0.8
2016-02-29,Boston U.,0.787
2016-02-29,Penn,0.786
2016-02-29,Bellarmine,0.784
2016-02-29,Dartmouth,0.78
2016-02-29,Villanova,0.773
2016-02-29,Johns Hopkins,0.764
2016-02-29,Drexel,0.762
2016-02-29,Wagner,0.75
2016-02-29,NJIT,0.746
2016-02-29,VMI,0.741
2016-02-29,Bucknell,0.74
2016-02-29,UMBC,0.735
2016-02-29,Fairfield,0.732
2016-02-29,Lafayette,0.726
2016-02-29,Jacksonville,0.724
2016-02-29,Manhattan,0.7
2016-02-29,Detroit Mercy,0.673
2016-02-29,UMass Lowell,0.636
2016-02-28,Duke,0.968
2016-02-28,Princeton,0.96
2016-02-28,Syracuse,0.951
2016-02-28,Mercer,0.939
2016-02-28,Rutgers,0.937
2016-02-28,Maryland,0.935
2016-02-28,Monmouth,0.933
2016-02-28,Brown,0.923
2016-02-28,Bryant,0.916
2016-02-28,Ohio St.,0.915
2016-02-28,North Carolina,0.912
2016-02-28,Notre Dame,0.909
2016-02-28,Cornell,0.906
2016-02-28,Penn St.,0.906
2016-02-28,Navy,0.903
2016-02-28,Richmond,0.902
2016-02-28,Sacred Heart,0.894
2016-02-28,Massachusetts,0.894
2016-02-28,Towson,0.894
2016-02-28,Stony Brook,0.891
2016-02-28,Virginia,0.891
2016-02-28,Vermont,0.889
2016-02-28,Army West Point,0.888
2016-02-28,St. John's,0.884
2016-02-28,Robert Morris,0.883
2016-02-28,Quinnipiac,0.879
2016-02-28,Saint Joseph's,0.878
2016-02-28,UAlbany,0.867
2016-02-28,Hobart,0.867
2016-02-28,Lehigh,0.859
2016-02-28,Loyola Maryland,0.857
2016-02-28,Michigan,0.855
2016-02-28,Colgate,0.849
2016-02-28,Siena,0.847
2016-02-28,High Point,0.845
2016-02-28,Air Force,0.841
2016-02-28,Providence,0.84
2016-02-28,Furman,0.839
2016-02-28,Binghamton,0.839
2016-02-28,Harvard,0.833
2016-02-28,Georgetown,0.833
2016-02-28,Holy Cross,0.828
2016-02-28,Yale,0.818
2016-02-28,Marist,0.814
2016-02-28,Delaware,0.813
2016-02-28,Marquette,0.811
2016-02-28,Mount St. Mary's,0.808
2016-02-28,Denver,0.806
2016-02-28,Hartford,0.806
2016-02-28,Hofstra,0.8
2016-02-28,Boston U.,0.787
2016-02-28,Penn,0.786
2016-02-28,Bellarmine,0.784
2016-02-28,Dartmouth,0.78
2016-02-28,Villanova,0.773
2016-02-28,Johns Hopkins,0.764
2016-02-28,Drexel,0.762
2016-02-28,Wagner,0.75
2016-02-28,NJIT,0.746
2016-02-28,VMI,0.741
2016-02-28,Bucknell,0.74
2016-02-28,UMBC,0.735
2016-02-28,Fairfield,0.732
2016-02-28,Lafayette,0.726
2016-02-28,Jacksonville,0.724
2016-02-28,Manhattan,0.7
2016-02-28,Detroit Mercy,0.673
2016-02-28,UMass Lowell,0.636
2016-02-24,Maryland,1.0
2016-02-24,Penn,1.0
2016-02-24,Brown,0.958
2016-02-24,Duke,0.956
2016-02-24,Towson,0.941
2016-02-24,Mercer,0.939
2016-02-24,Cornell,0.938
2016-02-24,Monmouth,0.933
2016-02-24,Quinnipiac,0.933
2016-02-24,Syracuse,0.93
2016-02-24,Sacred Heart,0.925
2016-02-24,Navy,0.923
2016-02-24,Princeton,0.923
2016-02-24,North Carolina,0.92
2016-02-24,Hofstra,0.917
2016-02-24,Penn St.,0.909
2016-02-24,Bryant,0.908
2016-02-24,Rutgers,0.907
2016-02-24,Massachusetts,0.903
2016-02-24,Virginia,0.902
2016-02-24,Ohio St.,0.894
2016-02-24,Army West Point,0.891
2016-02-24,Robert Morris,0.887
2016-02-24,St. John's,0.884
2016-02-24,Vermont,0.883
2016-02-24,Stony Brook,0.879
2016-02-24,Richmond,0.875
2016-02-24,Harvard,0.875
2016-02-24,Binghamton,0.875
2016-02-24,Georgetown,0.87
2016-02-24,Notre Dame,0.865
2016-02-24,Marist,0.862
2016-02-24,Hobart,0.862
2016-02-24,Loyola Maryland,0.857
2016-02-24,Saint Joseph's,0.85
2016-02-24,Siena,0.849
2016-02-24,Colgate,0.848
2016-02-24,High Point,0.844
2016-02-24,Furman,0.839
2016-02-24,Providence,0.828
2016-02-24,Lehigh,0.825
2016-02-24,Villanova,0.818
2016-02-24,Dartmouth,0.81
2016-02-24,Holy Cross,0.809
2016-02-24,Mount St. Mary's,0.808
2016-02-24,Air Force,0.808
2016-02-24,Delaware,0.8
2016-02-24,Michigan,0.8
2016-02-24,UAlbany,0.8
2016-02-24,Drexel,0.8
2016-02-24,Marquette,0.8
2016-02-24,Bucknell,0.786
2016-02-24,Johns Hopkins,0.781
2016-02-24,Boston U.,0.778
2016-02-24,Denver,0.765
2016-02-24,Bellarmine,0.759
2016-02-24,Wagner,0.75
2016-02-24,Hartford,0.75
2016-02-24,Jacksonville,0.737
2016-02-24,Fairfield,0.725
2016-02-24,NJIT,0.72
2016-02-24,VMI,0.718
2016-02-24,Detroit Mercy,0.714
2016-02-24,Lafayette,0.705
2016-02-24,Manhattan,0.684
2016-02-24,Yale,0.667
2016-02-24,UMBC,0.619
2016-02-24,UMass Lowell,0.581
2016-02-23,Maryland,1.0
2016-02-23,Penn,1.0
2016-02-23,Brown,0.958
2016-02-23,Duke,0.956
2016-02-23,Towson,0.941
2016-02-23,Mercer,0.939
2016-02-23,Cornell,0.938
2016-02-23,Monmouth,0.933
2016-02-23,Quinnipiac,0.933
2016-02-23,Syracuse,0.93
2016-02-23,Sacred Heart,0.925
2016-02-23,Navy,0.923
2016-02-23,Princeton,0.923
2016-02-23,Richmond,0.921
2016-02-23,North Carolina,0.92
2016-02-23,Hofstra,0.917
2016-02-23,Penn St.,0.909
2016-02-23,Bryant,0.908
2016-02-23,Rutgers,0.907
2016-02-23,Massachusetts,0.903
2016-02-23,Virginia,0.902
2016-02-23,Ohio St.,0.894
2016-02-23,Army West Point,0.891
2016-02-23,Robert Morris,0.887
2016-02-23,St. John's,0.884
2016-02-23,Vermont,0.883
2016-02-23,Stony Brook,0.879
2016-02-23,Harvard,0.875
2016-02-23,Binghamton,0.875
2016-02-23,Georgetown,0.87
2016-02-23,Hobart,0.862
2016-02-23,Marist,0.862
2016-02-23,Loyola Maryland,0.857
2016-02-23,Saint Joseph's,0.85
2016-02-23,Siena,0.849
2016-02-23,Colgate,0.848
2016-02-23,High Point,0.844
2016-02-23,Furman,0.839
2016-02-23,Providence,0.828
2016-02-23,Lehigh,0.825
2016-02-23,Mount St. Mary's,0.822
2016-02-23,Villanova,0.818
2016-02-23,Notre Dame,0.81
2016-02-23,Dartmouth,0.81
2016-02-23,Holy Cross,0.809
2016-02-23,Air Force,0.808
2016-02-23,Delaware,0.8
2016-02-23,Michigan,0.8
2016-02-23,UAlbany,0.8
2016-02-23,Drexel,0.8
2016-02-23,Marquette,0.8
2016-02-23,Bucknell,0.786
2016-02-23,Johns Hopkins,0.781
2016-02-23,Boston U.,0.778
2016-02-23,Denver,0.765
2016-02-23,Wagner,0.75
2016-02-23,Bellarmine,0.75
2016-02-23,Hartford,0.75
2016-02-23,Jacksonville,0.737
2016-02-23,Fairfield,0.725
2016-02-23,NJIT,0.72
2016-02-23,VMI,0.718
2016-02-23,Detroit Mercy,0.714
2016-02-23,Lafayette,0.705
2016-02-23,Manhattan,0.684
2016-02-23,Yale,0.667
2016-02-23,UMBC,0.619
2016-02-23,UMass Lowell,0.581
2016-02-21,Maryland,1.0
2016-02-21,Penn,1.0
2016-02-21,Brown,0.958
2016-02-21,Duke,0.956
2016-02-21,Monmouth,0.947
2016-02-21,Mercer,0.941
2016-02-21,Towson,0.941
2016-02-21,Cornell,0.938
2016-02-21,Quinnipiac,0.933
2016-02-21,Syracuse,0.93
2016-02-21,Sacred Heart,0.925
2016-02-21,Navy,0.923
2016-02-21,Princeton,0.923
2016-02-21,North Carolina,0.92
2016-02-21,Hofstra,0.917
2016-02-21,High Point,0.911
2016-02-21,Penn St.,0.909
2016-02-21,Virginia,0.909
2016-02-21,Bryant,0.908
2016-02-21,Rutgers,0.907
2016-02-21,Massachusetts,0.903
2016-02-21,Richmond,0.897
2016-02-21,Ohio St.,0.894
2016-02-21,Army West Point,0.891
2016-02-21,Robert Morris,0.887
2016-02-21,St. John's,0.884
2016-02-21,Vermont,0.883
2016-02-21,Stony Brook,0.879
2016-02-21,Binghamton,0.875
2016-02-21,Georgetown,0.87
2016-02-21,Hobart,0.862
2016-02-21,Marist,0.862
2016-02-21,Loyola Maryland,0.857
2016-02-21,Saint Joseph's,0.85
2016-02-21,Colgate,0.848
2016-02-21,Furman,0.839
2016-02-21,Siena,0.833
2016-02-21,Providence,0.828
2016-02-21,Holy Cross,0.827
2016-02-21,Lehigh,0.825
2016-02-21,Villanova,0.818
2016-02-21,Notre Dame,0.81
2016-02-21,Dartmouth,0.81
2016-02-21,Air Force,0.808
2016-02-21,Delaware,0.8
2016-02-21,Michigan,0.8
2016-02-21,Mount St. Mary's,0.8
2016-02-21,UAlbany,0.8
2016-02-21,Harvard,0.8
2016-02-21,Drexel,0.8
2016-02-21,Marquette,0.8
2016-02-21,Bucknell,0.786
2016-02-21,Johns Hopkins,0.781
2016-02-21,Boston U.,0.778
2016-02-21,Denver,0.765
2016-02-21,Wagner,0.758
2016-02-21,Bellarmine,0.75
2016-02-21,Hartford,0.75
2016-02-21,Jacksonville,0.737
2016-02-21,Fairfield,0.725
2016-02-21,NJIT,0.72
2016-02-21,VMI,0.718
2016-02-21,Detroit Mercy,0.714
2016-02-21,Lafayette,0.705
2016-02-21,Manhattan,0.684
2016-02-21,Yale,0.667
2016-02-21,UMBC,0.619
2016-02-21,UMass Lowell,0.581
2016-02-18,Stony Brook,1.0
2016-02-18,Monmouth,0.947
2016-02-18,Mount St. Mary's,0.938
2016-02-18,Duke,0.935
2016-02-18,Towson,0.933
2016-02-18,Richmond,0.923
2016-02-18,Sacred Heart,0.919
2016-02-18,Bryant,0.917
2016-02-18,Syracuse,0.917
2016-02-18,North Carolina,0.909
2016-02-18,High Point,0.903
2016-02-18,St. John's,0.897
2016-02-18,Johns Hopkins,0.882
2016-02-18,Penn St.,0.88
2016-02-18,Navy,0.875
2016-02-18,Ohio St.,0.875
2016-02-18,Mercer,0.875
2016-02-18,Vermont,0.868
2016-02-18,Massachusetts,0.867
2016-02-18,Hobart,0.857
2016-02-18,Air Force,0.848
2016-02-18,Loyola Maryland,0.846
2016-02-18,Robert Morris,0.842
2016-02-18,Rutgers,0.842
2016-02-18,Fairfield,0.842
2016-02-18,Siena,0.824
2016-02-18,Virginia,0.824
2016-02-18,Delaware,0.821
2016-02-18,Furman,0.8
2016-02-18,Holy Cross,0.8
2016-02-18,Boston U.,0.796
2016-02-18,Providence,0.793
2016-02-18,Jacksonville,0.792
2016-02-18,Lehigh,0.789
2016-02-18,Army West Point,0.786
2016-02-18,Bucknell,0.778
2016-02-18,Wagner,0.778
2016-02-18,Denver,0.762
2016-02-18,Bellarmine,0.762
2016-02-18,Colgate,0.75
2016-02-18,Michigan,0.742
2016-02-18,NJIT,0.692
2016-02-18,Manhattan,0.683
2016-02-18,Lafayette,0.667
2016-02-18,Detroit Mercy,0.65
2016-02-18,UMass Lowell,0.733
2016-02-01,Monmouth,0.947
2016-02-01,Sacred Heart,0.947
2016-02-01,Vermont,0.941
2016-02-01,Mount St. Mary's,0.938
2016-02-01,Duke,0.935
2016-02-01,Towson,0.933
2016-02-01,Richmond,0.923
2016-02-01,Bryant,0.917
2016-02-01,Syracuse,0.917
2016-02-01,North Carolina,0.909
2016-02-01,Johns Hopkins,0.882
2016-02-01,Penn St.,0.88
2016-02-01,Navy,0.875
2016-02-01,Ohio St.,0.875
2016-02-01,Mercer,0.875
2016-02-01,Massachusetts,0.867
2016-02-01,Hobart,0.857
2016-02-01,Air Force,0.848
2016-02-01,Loyola Maryland,0.846
2016-02-01,Robert Morris,0.842
2016-02-01,Rutgers,0.842
2016-02-01,Fairfield,0.842
2016-02-01,Siena,0.824
2016-02-01,High Point,0.824
2016-02-01,Virginia,0.824
2016-02-01,Delaware,0.821
2016-02-01,Boston U.,0.813
2016-02-01,Furman,0.8
2016-02-01,Holy Cross,0.8
2016-02-01,St. John's,0.8
2016-02-01,Providence,0.793
2016-02-01,Lehigh,0.789
2016-02-01,Army West Point,0.786
2016-02-01,Bucknell,0.778
2016-02-01,Wagner,0.778
2016-02-01,Bellarmine,0.762
2016-02-01,Denver,0.762
2016-02-01,Colgate,0.75
2016-02-01,Michigan,0.742
2016-02-01,Jacksonville,0.694
2016-02-01,Manhattan,0.683
2016-02-01,Lafayette,0.667
2016-02-01,Detroit Mercy,0.65
2016-02-01,NJIT,0.6
2016-02-01,UMass Lowell,0.733
2016-02-01,Sacred Heart,0.947
2016-02-01,Monmouth,0.947
2016-02-01,Vermont,0.941
2016-02-01,Mount St. Mary's,0.938
2016-02-01,Duke,0.935
2016-02-01,Towson,0.933
2016-02-01,Bryant,0.917
2016-02-01,Syracuse,0.917
2016-02-01,North Carolina,0.909
2016-02-01,Johns Hopkins,0.882
2016-02-01,Penn St.,0.88
2016-02-01,Navy,0.875
2016-02-01,Ohio St.,0.875
2016-02-01,Mercer,0.875
2016-02-01,Massachusetts,0.867
2016-02-01,Hobart,0.857
2016-02-01,Air Force,0.848
2016-02-01,Loyola Maryland,0.846
2016-02-01,Robert Morris,0.842
2016-02-01,Rutgers,0.842
2016-02-01,Siena,0.824
2016-02-01,High Point,0.824
2016-02-01,Virginia,0.824
2016-02-01,Delaware,0.821
2016-02-01,Boston U.,0.813
2016-02-01,Furman,0.8
2016-02-01,Holy Cross,0.8
2016-02-01,St. John's,0.8
2016-02-01,Providence,0.793
2016-02-01,Lehigh,0.789
2016-02-01,Army West Point,0.786
2016-02-01,Bucknell,0.778
2016-02-01,Wagner,0.778
2016-02-01,Bellarmine,0.762
2016-02-01,Denver,0.762
2016-02-01,Colgate,0.75
2016-02-01,Michigan,0.742
2016-02-01,Jacksonville,0.694
2016-02-01,Manhattan,0.683
2016-02-01,Lafayette,0.667
2016-02-01,Detroit Mercy,0.65
2016-02-01,NJIT,0.6
2016-02-01,UMass Lowell,0.733
2016-02-01,Bryant,0.889
2016-02-01,Boston U.,0.813
2016-02-01,Bucknell,0.737
2016-02-01,Vermont,0.941
2016-02-01,North Carolina,0.929
2016-02-01,Ohio St.,0.923
2016-02-01,Bryant,0.889
2016-02-01,Johns Hopkins,0.882
2016-02-01,Navy,0.875
2016-02-01,Lehigh,0.875
2016-02-01,Robert Morris,0.857
2016-02-01,Penn St.,0.846
2016-02-01,Furman,0.842
2016-02-01,Michigan,0.8
2016-02-01,Delaware,0.786
2016-02-01,Providence,0.778
2016-02-01,Bucknell,0.737
2016-02-01,Boston U.,0.737
2016-02-01,Jacksonville,0.727
2016-02-01,Air Force,0.706
2016-02-01,Manhattan,0.692
2016-02-01,NJIT,0.6
2016-02-01,Vermont,0.941
2016-02-01,North Carolina,0.929
2016-02-01,Ohio St.,0.923
2016-02-01,Bryant,0.889
2016-02-01,Lehigh,0.875
2016-02-01,Navy,0.867
2016-02-01,Robert Morris,0.857
2016-02-01,Penn St.,0.846
2016-02-01,Furman,0.842
2016-02-01,Michigan,0.8
2016-02-01,Delaware,0.786
2016-02-01,Providence,0.778
2016-02-01,Bucknell,0.737
2016-02-01,Boston U.,0.737
2016-02-01,Jacksonville,0.727
2016-02-01,Air Force,0.706
2016-02-01,Manhattan,0.692
2016-02-01,NJIT,0.6
2017-05-29,Syracuse,0.919
2017-05-29,Loyola Maryland,0.918
2017-05-29,Monmouth,0.906
2017-05-29,Villanova,0.905
2017-05-29,Binghamton,0.903
2017-05-29,Maryland,0.903
2017-05-29,Hofstra,0.899
2017-05-29,Hampton,0.897
2017-05-29,Johns Hopkins,0.896
2017-05-29,Furman,0.893
2017-05-29,Harvard,0.893
2017-05-29,Cornell,0.892
2017-05-29,UAlbany,0.892
